400 722
7.894737 4.736842 2.49619
8.947368 4.736842 2.321395
10.0 4.736842 2.330279
-10.0 5.789474 3.234319
-8.947368 5.789474 3.237428
-7.894737 5.789474 3.176271
-6.842105 5.789474 3.067402
-5.789474 5.789474 2.94029
-4.736842 5.789474 2.829339
-3.684211 5.789474 2.764582
-2.631579 5.789474 2.763546
-1.578947 5.789474 2.826511
-0.526316 5.789474 2.936435
0.526316 5.789474 3.063565
1.578947 5.789474 3.173489
2.631579 5.789474 3.236454
3.684211 5.789474 3.235418
4.736842 5.789474 3.170661
5.789474 5.789474 3.05971
6.842105 5.789474 2.932598
7.894737 5.789474 2.823729
8.947368 5.789474 2.762572
10.0 5.789474 2.765681
-10.0 6.842105 2.735494
-8.947368 6.842105 2.731985
-7.894737 6.842105 2.80102
-6.842105 6.842105 2.923914
-5.789474 6.842105 3.067402
-4.736842 6.842105 3.192647
-3.684211 6.842105 3.265747
-2.631579 6.842105 3.266916
-1.578947 6.842105 3.195839
-0.526316 6.842105 3.071754
0.526316 6.842105 2.928246
1.578947 6.842105 2.804161
2.631579 6.842105 2.733084
3.684211 6.842105 2.734253
4.736842 6.842105 2.807353
5.789474 6.842105 2.932598
6.842105 6.842105 3.076086
7.894737 6.842105 3.19898
8.947368 6.842105 3.268015
10.0 6.842105 3.264506
-10.0 7.894737 2.308263
-8.947368 7.894737 2.299086
-7.894737 7.894737 2.479628
-6.842105 7.894737 2.80102
-5.789474 7.894737 3.176271
-4.736842 7.894737 3.50381
-3.684211 7.894737 3.694981
-2.631579 7.894737 3.69804
-1.578947 7.894737 3.512159
-0.526316 7.894737 3.18765
0.526316 7.894737 2.81235
1.578947 7.894737 2.487841
2.631579 7.894737 2.30196
3.684211 7.894737 2.305019
4.736842 7.894737 2.49619
5.789474 7.894737 2.823729
6.842105 7.894737 3.19898
7.894737 7.894737 3.520372
8.947368 7.894737 3.700914
10.0 7.894737 3.691737
-10.0 8.947368 2.068266
-8.947368 8.947368 2.055906
-7.894737 8.947368 2.299086
-6.842105 8.947368 2.731985
-5.789474 8.947368 3.237428
-4.736842 8.947368 3.678605
-3.684211 8.947368 3.936103
-2.631579 8.947368 3.940224
-1.578947 8.947368 3.689851
-0.526316 8.947368 3.252755
0.526316 8.947368 2.747245
1.578947 8.947368 2.310149
